21 81
-2.092270657256574e-02 3.119236603097230e-02 0.000000000000000e+00
-2.033229537320160e-02 3.214849652545344e-02 0.000000000000000e+00
-1.973235703299399e-02 3.309772864950705e-02 0.000000000000000e+00
-1.912360442756809e-02 3.404029849210133e-02 0.000000000000000e+00
-1.850519929123572e-02 3.497552048039720e-02 0.000000000000000e+00
-1.787873412667449e-02 3.590418035120135e-02 0.000000000000000e+00
-1.724463850168646e-02 3.682638552636151e-02 0.000000000000000e+00
-1.660276240049188e-02 3.774188283101137e-02 0.000000000000000e+00
-1.595352340142527e-02 3.865078090397171e-02 0.000000000000000e+00
-1.529774775996407e-02 3.955346709075613e-02 0.000000000000000e+00
-1.463575126107303e-02 4.045001212501120e-02 0.000000000000000e+00
-1.396783988457173e-02 4.134048717096447e-02 0.000000000000000e+00
-1.396744893863797e-02 -3.934864327311516e-02 0.000000000000000e+00
-1.462706264661117e-02 -3.849591651564295e-02 0.000000000000000e+00
-1.528052956381802e-02 -3.763629507661275e-02 0.000000000000000e+00
-1.592752135436938e-02 -3.676972426091583e-02 0.000000000000000e+00
-1.656769477582148e-02 -3.589614794406718e-02 0.000000000000000e+00
-1.719996595342690e-02 -3.501505433820250e-02 0.000000000000000e+00
-1.782436557372283e-02 -3.412665158296429e-02 0.000000000000000e+00
-1.844079474859429e-02 -3.323106494306696e-02 0.000000000000000e+00
-1.904834525991840e-02 -3.232793859921360e-02 0.000000000000000e+00
-1.964632417281342e-02 -3.141706825377018e-02 0.000000000000000e+00
-2.023510073595932e-02 -3.049888310565789e-02 0.000000000000000e+00
-2.081325946670885e-02 -2.957279306224905e-02 0.000000000000000e+00
-2.138069865963581e-02 -2.863897570150342e-02 0.000000000000000e+00
-2.193727399374408e-02 -2.769758905875812e-02 0.000000000000000e+00
-2.248124834381623e-02 -2.674795815212357e-02 0.000000000000000e+00
-2.301374466576807e-02 -2.579093033523387e-02 0.000000000000000e+00
-2.353204691200935e-02 -2.482540623132955e-02 0.000000000000000e+00
-2.403785008686555e-02 -2.385250942377102e-02 0.000000000000000e+00
-2.452813356128810e-02 -2.287110061579943e-02 0.000000000000000e+00
-2.500448885720300e-02 -2.188223693512047e-02 0.000000000000000e+00
-2.546432718292076e-02 -2.088508955271306e-02 0.000000000000000e+00
-2.590830506714890e-02 -1.988030352394879e-02 0.000000000000000e+00
-2.633527186370101e-02 -1.886775053771948e-02 0.000000000000000e+00
-2.674387294415750e-02 -1.784730092058894e-02 0.000000000000000e+00
-2.713461351653246e-02 -1.681954264465624e-02 0.000000000000000e+00
-2.750568016608474e-02 -1.578424010069707e-02 0.000000000000000e+00
-2.785638406216689e-02 -1.474163158238786e-02 0.000000000000000e+00
-2.818678735393633e-02 -1.369219472177010e-02 0.000000000000000e+00
-2.849591216973939e-02 -1.263609887947306e-02 0.000000000000000e+00
-2.878171823942316e-02 -1.157331577095422e-02 0.000000000000000e+00
-2.904488237439022e-02 -1.050457360097406e-02 0.000000000000000e+00
-2.928466679522376e-02 -9.430229399276102e-03 0.000000000000000e+00
-2.950037028868326e-02 -8.350688291303643e-03 0.000000000000000e+00
-2.969056203305417e-02 -7.266283690325098e-03 0.000000000000000e+00
-2.985501550632792e-02 -6.177622201197637e-03 0.000000000000000e+00
-2.999366137601594e-02 -5.085325730781512e-03 0.000000000000000e+00
-3.010605323164652e-02 -3.989973266533699e-03 0.000000000000000e+00
-3.019180794216277e-02 -2.892175098888743e-03 0.000000000000000e+00
-3.025064279466026e-02 -1.792569951269194e-03 0.000000000000000e+00
-3.028183776461256e-02 -6.918094256585427e-04 0.000000000000000e+00
-3.028534832538274e-02 4.093957461491907e-04 0.000000000000000e+00
-3.026163294980869e-02 1.510352249902403e-03 0.000000000000000e+00
-3.021077822267085e-02 2.610388203121993e-03 0.000000000000000e+00
-3.013296630819953e-02 3.708843173774836e-03 0.000000000000000e+00
-3.002846276466318e-02 4.805075018454672e-03 0.000000000000000e+00
-2.989763452960511e-02 5.898468878318464e-03 0.000000000000000e+00
-2.973978152903697e-02 6.988265672972020e-03 0.000000000000000e+00
-2.955647924974966e-02 8.074024184236455e-03 0.000000000000000e+00
-2.934834292602546e-02 9.155242778226678e-03 0.000000000000000e+00
-2.911600845741627e-02 1.023145997717670e-02 0.000000000000000e+00
-2.886011585989369e-02 1.130225056114845e-02 0.000000000000000e+00
-2.857997451681216e-02 1.236686792660812e-02 0.000000000000000e+00
-2.827777266977703e-02 1.342530362934453e-02 0.000000000000000e+00
-2.795429802650654e-02 1.447728813823718e-02 0.000000000000000e+00
-2.760976628732231e-02 1.552240639109549e-02 0.000000000000000e+00
-2.724436175154068e-02 1.656021863178138e-02 0.000000000000000e+00
-2.686010024004341e-02 1.759095096710512e-02 0.000000000000000e+00
-2.645712264543721e-02 1.861424722652438e-02 0.000000000000000e+00
-2.603557118070089e-02 1.962973003333773e-02 0.000000000000000e+00
-2.559758056376784e-02 2.063785469320778e-02 0.000000000000000e+00
-2.514225350028469e-02 2.163788591023467e-02 0.000000000000000e+00
-2.467156363756726e-02 2.263029900841525e-02 0.000000000000000e+00
-2.418557516107812e-02 2.361480046912543e-02 0.000000000000000e+00
-2.368507959443092e-02 2.459142278402491e-02 0.000000000000000e+00
